informal,formal,formal KBBI
diliatin,diperlihatkan,
dilombok,di lombok,
diluar,di luar,
diluaran,di luaran,
dimalam,di malam,
dimana,di mana,
dimana2,dimana-mana,
dimanapun,di mana pun,
dimarahin,dimarahi,
dimasa,di masa,
dimasukin,dimasukkan,
dimata,di mata,
dimna,dimana,
dimuka,di muka,
diomongin,diomongi,
dipagi,di pagi,
dipake,dipakai,
dipasaran,di pasaran,
dipikirin,dipikirkan,
dipinggir,di pinggir,
diposisi,di posisi,
dirumah,di rumah,
dirut,direktur utama,
disaat,di saat,
disana,di sana,
disebelah,di sebelah,
disekitar,di sekitar,
disekolah,di sekolah,
diseluruh,di seluruh,
disetiap,di setiap,
dishub,dinas perhubungan,
disini,di sini,
disitu,di situ,
disitulah,di situlah,
ditahun,di tahun,
ditangan,di tangan,
ditanyain,ditanyai,
ditemenin,ditemani,
ditempat,di tempat,
ditengah,di tengah,
ditinggalin,ditinggalkan,
diubah,dirubah,
diujung,di ujung,
diupload,di upload,
diwaktu,di waktu,
dj,disk jokey,
djakarta,jakarta,
dkt,dekat,
dl,dulu,
dlam,dalam,
dlingo,Duo Lingo,
dll,dan lain-lain,
dlm,dalam,
dlu,dulu,
dmn,di mana,
dmna,di mana,
dn,dan,
dng,dengan,
dngn,dengan,
doain,doakan,
doank,saja,
doh,aduh,
dolo,dulu,
dongg,dong,
donggg,dong,
dongs,dong,
donk,dong,
donlot,download,
donut,donat,
donuts,donat,
doong,dong,
doors,pintu,
dpat,dapat,
dpc,dewan pimpinan cabang,
dpn,depan,
dps,denpasar,
dpt,dapat,
dr,dari,
drakor,drama korea,
dreams,mimpi-mimpi,
drg,dokter gigi,
dri,dari,
drinks,minuman-minuman,
drmh,di rumah,
drpd,daripada,
ds,desa,
dsb,dan sebagainya,
dsini,di sini,
dsni,di sini,
dtg,datang,
duhh,aduh,
duhhh,aduh,
duitnya,uangnya,
duluan,mendahului,
duluuu,dulu,
durung,belum,
duwe,punya,
dy,dia,
ea,iya,
earlier,lebih awal,
edited,diedit,
editing,mengedit,
edt,ubah,
ee,tahi,
eek,kotoran,
ehehe,hehe,
ehhh,eh,
eid,idul,
ekspetasi,ekspektasi,
elek,jelek,
emak2,ibu-ibu,
emaknya,ibunya,
emangnya,memangnya,
emg,memang,
emng,emang,
emot,emote,
emyu,Menchester United,
enakan,lebih enak,
endingnya,akhirnya,
ends,berakhir,
eneg,enek,
engga,tidak,
england,inggris,
english,bahasa inggris,
enjing,pagi,
enjoyed,dinikmati,
enk,enak,
entek,habis,
este,es teh,
etc,dan lain-lain,
eu,eropa,
eug,saya,
europe,Eropa,
events,acara,
everythings,semuanya,
everytime,setiap saat,
ex,eks,
exercising,olah raga,
experiences,pengalaman-pengalaman,
eyes,mata,
faces,muka,
facts,fakta,
failed,gagal,
fak,brengsek,
fakboi,fuck boy,
fakenail,kuku palsu,
falls,jatuh,
families,keluarga,
familys,keluarga,
fams,keluarga,
fastpay,pembayaran cepat,
fathers,para ayah,
fav,favorit,
fave,favorit,
favourite,favorit,
fb,facebook,
featuring,menampilkan,
feb,februari,
february,februari,
feelings,perasaan,
feels,merasa,
feet,kaki,
feliz,bahagia,
fellas,teman,
fgd,diskusi kelompok terpumpun,
fields,bidang,
fikir,pikir,
fikiran,pikiran,
firefighter,pemadam kebakaran,
fk,fakultas kedokteran,
flashback,kilas balik,
flek,jerawat,
flowers,bunga,
flyover,jembatan layang,
fm,football manager,
folback,ikuti balik,
folbek,follow balik,
folks,saudara-saudara,
follback,mengikuti kembali,
followed,diikuti,
followers,pengikut,
foods,makanan,
foto2,foto-foto,
fotoin,memotretkan,
fpi,front pembela islam,
french,perancis,
friday,jumat,
friends,teman-teman,
fruits,buah,
ft,menampilkan,
fuck,tahi,
fyi,sekedar informasi,
ga,tidak,
gaa,tidak,
gaada,tidak ada,
gabakal,tidak akan,
gabisa,tidak bisa,
gabole,tidak boleh,
gaboleh,tidak boleh,
gabut,gaji buta,
gaenak,tidak enak,
gaes,kawan-kawan,
gaess,teman-teman,
gaesss,teman-teman,
gais,teman-teman,
gajadi,tidak jadi,
gaje,tidak jelas,
gajelas,tidak jelas,
gak,tidak,
gakuat,tidak kuat,
galery,galeri,
galo,galau,
gamau,tidak mau,
gangerti,tidak mengerti,
gangguin,ganggu,
gank,gang,
gantengnya,tampannya,
gantian,bergantian,
gapake,tidak pakai,
gapapa,tidak apa-apa,
gaperlu,tidak perlu,
gapernah,tidak pernah,
gapunya,tidak punya,
gara2,gara-gara,
gass,gas,
gasss,gas,
gassss,gas,
gasuka,tidak suka,
gatau,tidak tahu,
gatel,gatal,
gatsu,gatot subroto,
gausa,tidak usah,
gausah,tidak usah,
gawe,bekerja,
gblk,goblok,
gbu,semoga tuhan memberkati,
gedhe,besar,
geesss,teman-teman,
gegara,gara-gara,
gelem,bersedia,
gemes,gemas,
genk,geng,
genks,kumpulan,
gercep,gerak cepat,
germany,jerman,
gets,mendapatkan,
geus,adalah,
gf,pacar,
ghibah,gosip,
gilaaa,gila,
gilak,gila,
gile,gila,
gimana,bagaimana,
gimna,bagaimana,
gini,begini,
ginian,seperti ini,
girls,para gadis,
gitu,begitu,
gituu,seperti itu,
gituuu,begitu,
gives,memberi,
gk,tidak,
gmana,bagaimana,
gmn,bagaimana,
gmna,bagaimana,
gn,begini,
gni,seperti ini,
go,pergi,
goals,tujuan,
goblog,goblok,
gods,tuhan,
gokil,gila,
gonna,akan,
goodbye,selamat tinggal,
goodbyes,selamat tinggal,
goodluck,selamat berjuang,
goodnight,selamat malam,
gosah,tidak usah,
gotta,harus,
gowes,bersepeda,
gpp,tidak apa-apa,
gr,gara-gara,
gracias,terima kasih,
grande,besar,
gratisan,gratis,
gratisss,gratis,
